date,ticker,entry,entry_et,exit_px,exit_ret,exit_type,pm_last_ret
2026-07-13,MIMI,3.8300,04:15,4.2130,10.00,limit,-18.80
2026-07-22,INLF,3.7600,04:15,4.1360,10.00,limit,-12.77
2026-07-23,WBUY,1.2800,04:45,1.4080,10.00,limit,3.91
2026-07-23,EHGO,2.5900,04:15,2.8490,10.00,limit,59.07
2026-07-27,BIYA,2.5600,04:15,2.8160,10.00,limit,14.84
2026-08-04,VGAS,1.1400,05:05,1.2400,8.77,pmlast,8.77
2026-08-13,FRGT,4.3700,04:15,4.8070,10.00,limit,-32.72
2026-08-18,PFSA,10.8600,04:15,11.9460,10.00,limit,-18.88
2026-08-19,ZNB,4.0000,04:20,4.4000,10.00,limit,-33.00
2026-08-19,BIVI,1.8100,04:15,1.3200,-27.07,pmlast,-27.07
2026-08-27,MIMI,2.4500,04:15,2.2800,-6.94,pmlast,-6.94
2026-08-28,WHLR,2.6900,04:15,2.9590,10.00,limit,-46.10
2026-08-31,WETO,7.0000,04:15,7.3400,4.86,pmlast,4.86
