date,ticker,retrospective_class,entry_utc,min_confirm_trades,min_confirm_notional_usd,modeled_return_pct,exit_type
2026-07-13,MIMI,holdable,2026-07-13T08:15:00Z,17381,5132557.17,10.00,limit
2026-07-13,SKYQ,thin,2026-07-13T08:15:00Z,269,87140.07,4.21,pmlast
2026-07-15,BJDX,thin,2026-07-15T11:05:00Z,682,190352.16,-9.35,pmlast
2026-07-22,INLF,holdable,2026-07-22T08:15:00Z,11278,2976565.94,10.00,limit
2026-07-23,EHGO,holdable,2026-07-23T08:15:00Z,6003,1093035.30,10.00,limit
2026-07-23,WBUY,holdable,2026-07-23T08:45:00Z,12436,3441383.99,10.00,limit
2026-07-24,WLDS,uninvestable,2026-07-24T08:15:00Z,4999,1329141.76,-23.26,pmlast
2026-07-27,BIYA,holdable,2026-07-27T08:15:00Z,841,359070.72,10.00,limit
2026-07-28,EHGO,uninvestable,2026-07-28T08:20:00Z,1140,206961.60,-2.53,pmlast
2026-07-28,FIRY,thin,2026-07-28T10:20:00Z,10455,3794918.32,10.00,limit
2026-08-04,VGAS,holdable,2026-08-04T09:05:00Z,705,86866.49,8.77,pmlast
2026-08-13,FRGT,holdable,2026-08-13T08:15:00Z,18746,5135411.34,10.00,limit
2026-08-18,PFSA,holdable,2026-08-18T08:15:00Z,6129,2087850.14,10.00,limit
2026-08-19,BIVI,holdable,2026-08-19T08:15:00Z,8321,1944981.65,-27.07,pmlast
2026-08-19,ZNB,holdable,2026-08-19T08:20:00Z,12709,2834405.90,10.00,limit
2026-08-21,BRNX,thin,2026-08-21T08:15:00Z,119,38048.78,10.00,limit
2026-08-21,SDEV,uninvestable,2026-08-21T08:15:00Z,1505,270808.64,-5.34,pmlast
2026-08-27,MIMI,holdable,2026-08-27T08:15:00Z,2414,543461.20,-6.94,pmlast
2026-08-28,WHLR,holdable,2026-08-28T08:15:00Z,11625,3236828.96,10.00,limit
2026-08-31,WETO,holdable,2026-08-31T08:15:00Z,159,35134.12,10.00,limit
2026-09-02,JLHL,holdable,2026-09-02T08:45:00Z,5247,1449721.14,10.00,limit
2026-09-02,VIVK,holdable,2026-09-02T08:15:00Z,4268,1124818.56,0.00,pmlast
2026-09-04,WETO,holdable,2026-09-04T08:20:00Z,2065,776787.64,10.00,limit
2026-09-08,BNC,holdable,2026-09-08T08:15:00Z,18550,7948900.96,-14.72,pmlast
2026-09-08,ISPC,holdable,2026-09-08T08:15:00Z,1697,475362.36,10.00,limit
2026-09-10,EHGO,holdable,2026-09-10T08:30:00Z,229,40706.63,10.00,limit
2026-09-14,AEHL,holdable,2026-09-14T08:15:00Z,587,247264.42,-32.57,pmlast
2026-09-15,MTEN,holdable,2026-09-15T08:40:00Z,1643,386854.20,10.00,limit
2026-09-18,BTCT,thin,2026-09-18T08:15:00Z,359,88754.40,10.00,limit
2026-09-18,USDE,thin,2026-09-18T08:15:00Z,410,255909.34,10.00,limit
2026-09-22,GURE,holdable,2026-09-22T08:40:00Z,2594,765658.32,10.00,limit
2026-09-22,STI,holdable,2026-09-22T08:15:00Z,2544,1027353.84,10.00,limit
